domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
ya888ya3.xyz	216.6.57.6	172.67.152.215	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	104.18.191.77	CDN_True	HTTP-Serverside-Blocking
pahe.in	66.198.70.2	104.27.132.141	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
idealista.pt	38.104.44.122	151.101.194.133	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	151.101.1.52	CDN_True	HTTP-Serverside-Blocking
3baocasino.com	66.198.70.2	104.18.27.40	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
fixkgsvo.ru	66.198.70.2	104.18.63.69	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
kirklands.com	52.93.28.200	52.0.23.246	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	6	1	N/A	CDN_True	HTTP-Serverside-Blocking
kindle.com	205.251.248.121	207.171.166.22	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_True	HTTP-Serverside-Blocking
citywire.co.uk	192.16.31.233	192.16.31.233	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
pbnrhm.org	103.224.213.253	103.224.212.234	HTTP	Blockpage	HTTP-TracerouteComplete	200-Empty-page	AU	AU	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
wearefdvm.com	198.185.159.144	198.185.159.144	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	0	N/A	CDN_False	HTTP-Serverside-Blocking
tedbaker.com	150.222.65.5	54.154.162.134	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	IE	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	4	5	52.84.137.5	CDN_True	HTTP-Censorship
cru.org	52.93.28.212	34.200.76.17	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	5	1	N/A	CDN_True	HTTP-Serverside-Blocking
99acres.com	52.93.10.97	54.251.99.37	HTTP	Blockpage	HTTP-TracerouteComplete	418-OTHER	US	SG	ELSEWHERE	FROM_TEST	CLOSE_TO_SERVER	5	1	54.251.99.37	CDN_True	HTTP-Serverside-Blocking
stadtbranchenbuch.com	52.93.128.236	52.31.97.112	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	LRI_NOT_FOUND_ANYWHERE	N/A	N/A	-1	N/A	CDN_True	Inconclusive
